[14:57:49.351] [main/INFO] [Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgeserver, --fml.neoForgeVersion, 21.1.233, --fml.fmlVersion, 4.0.42, --fml.mcVersion, 1.21.1, --fml.neoFormVersion, 20240808.144430, nogui] 
[14:57:49.365] [main/INFO] [Launcher/MODLAUNCHER]: JVM identified as Eclipse Adoptium OpenJDK 64-Bit Server VM 21.0.11+10-LTS 
[14:57:49.372] [main/INFO] [Launcher/MODLAUNCHER]: ModLauncher 11.0.5+main.901c6ea8 starting: java version 21.0.11 by Eclipse Adoptium; OS Windows 11 arch amd64 version 10.0 
[14:57:50.772] [main/INFO] [loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forgeserver 
[14:57:51.026] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=union:/C:/Users/Windows/Documents/Codex/2026-07-10/goa/tmp/vvh-server-work-final4-20260808/server/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar%2373!/ Service=ModLauncher Env=SERVER 
[14:57:51.705] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "server-1.21.1-20240808.144430-srg.jar" [locator: production server provider +net.neoforged:neoforge:21.1.233:server] 
[14:57:51.760] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "neoforge-21.1.233-universal.jar" [locator: PathBasedLocator[name=neoforge, paths=[libraries\net\neoforged\neoforge\21.1.233\neoforge-21.1.233-universal.jar]], reader: mod manifest] 
[14:57:51.769] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found library file "~nonexistent" [locator: org.sinytra.connector.locator.ConnectorEarlyLocatorBootstrap@4bf3798b] 
[14:57:51.802] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "accessories-neoforge-1.1.0-beta.53+1.21.1.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:51.977] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "caelus-neoforge-7.0.1+1.21.1.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:51.990] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "carryon-neoforge-1.21.1-2.2.4.4.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.009] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cataclysm_spellbooks-1.1.12-1.21.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.025] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cbc_compact_mount-1.2.2.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.039] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cc-tweaked-1.21.1-forge-1.120.0.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.051] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cc_sable-neoforge-1.3.4.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.113] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "chipped-neoforge-1.21.1-4.0.2.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.143] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Chunky-NeoForge-1.4.23.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.155] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ChunkyBorder-1.2.18.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.167] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cloth-config-15.0.140-neoforge.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.178] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "collective-1.21.1-8.29.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.195] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "common-networking-neoforge-1.0.21-1.21.1.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.206] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "configurable-3.5.1+1.21.1-neoforge.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.217] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "copycats-3.0.4+mc.1.21.1-neoforge.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.245] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create-1.21.1-6.0.10.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.260] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create-aeronautics-bundled-1.21.1-1.3.0.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.283] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create-central-kitchen-2.5.0.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.298] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create-enchantment-industry-2.5.0-preview-alpha1.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.312] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create_aeronautics_transmission_linkage-0.2.5.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.323] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create_avionics-neoforge-1.21.1-0.5.1.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.332] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "create_cardan_shafts-0.1.6.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.346] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "createbigcannons-5.11.7+mc.1.21.1.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.369] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "createdeco-2.1.3.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.381] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "CreateDragonsPlus-1.11.2b.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.390] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "CreateNumismatics-1.0.20+neoforge-mc1.21.1.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.404] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "createpropulsion-1.1.4.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.416] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cultofazazelneo-killfix.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.424] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "curios-neoforge-9.5.1+1.21.1.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.433] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Data_Anchor-neoforge-1.21.1-2.0.0.13.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.451] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "DistantHorizons-3.2.0-b-1.21.1-fabric-neoforge.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.464] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "do_a_barrel_roll-neoforge-3.7.3+1.21.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.478] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "doubleslabs-neoforge-1.21.1-0.4.0.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.490] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "drivebywire-0.2.9.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.502] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "enchanting-infuser-add-treasure-enchantements-1.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.510] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "EnchantingInfuser-v21.1.4-1.21.1-NeoForge.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.520] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "escalated-1.3.1-mc.1.21.1.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.529] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ExplorersCompass-1.21.1-3.4.0-neoforge.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.543] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "exposure-neoforge-1.21.1-1.9.18.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.555] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "FarmersDelight-1.21.1-1.3.2.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.586] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ferritecore-7.0.3-neoforge.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.603] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "FluxNetworks-1.21.1-8.0.0.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.611] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "forgified-fabric-api-0.116.7+2.2.4+1.21.1.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.620] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "fragmentum-neoforge-1.21.1-2.2.4.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.631] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ftb-chunks-neoforge-2101.1.19.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.639] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ftb-essentials-neoforge-2101.1.9.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.648] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ftb-library-neoforge-2101.1.32.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.658] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ftb-quests-neoforge-2101.1.27.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.668] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ftb-teams-neoforge-2101.1.10.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.677] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ftb-ultimine-neoforge-2101.1.15.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.685] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ftbxaerocompat-neoforge-1.1.4.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.693] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "geckolib-neoforge-1.21.1-4.8.4.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.701] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "globalpacks-neoforge-1.21.1-21.0.6.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.711] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "godly_vampirism-1.21.1-1.10.0.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.722] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Guide-API-VP-1.21.1-2.3.0.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.737] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "guideme-21.1.16.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.756] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "handcrafted-neoforge-1.21.1-4.0.3.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.770] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Icarus-NeoForge-4.7.6.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.779] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "immersive_furniture-neoforge-0.2.2+1.21.1.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.790] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "infinitetrading-1.21.1-5.0.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.802] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "interiors-1.21.1-neoforge-0.6.1.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.811] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "irons_lib-1.21.1-2.1.0.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.826] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "irons_spellbooks-1.21.1-3.16.2.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.834] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Jade-1.21.1-NeoForge-15.10.5.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.841] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "JadeAddons-1.21.1-NeoForge-6.1.0.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.849] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "jei-1.21.1-neoforge-19.39.0.371.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.856] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found library file "kotlinforforge-5.11.0-all.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.866] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "kubejs-neoforge-2101.7.2-build.368.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.881] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "L_Ender's Cataclysm 1.21.1-3.32.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.890] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "lionfishapi-3.1.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
[14:57:52.900] [main/INFO] [loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "lithium-neoforge-0.15.3+mc1.21.1.jar" [locator: {mods folder locator at C:\Users\Windows\Documents\Codex\2026-07-10\goa\tmp\vvh-server-work-final4-20260808\server\mods}, reader: mod manifest] 
